Archivo;Linea;NombreAntiguo;NombreNuevo;Texto
"C:\DISCO_DURO\proyectos\Factuzam\src\Core\inMtoLogon.pas";526;"VALUE_PERFILES";"VALUE_USUPER";"//  unqryTestBD.SQL.Text := 'SELECT VALUE_PERFILES ' +"
"C:\DISCO_DURO\proyectos\Factuzam\src\Core\inMtoLogon.pas";528;"SUBKEY_PERFILES";"SUBKEY_USUPER";"//                          ' WHERE SUBKEY_PERFILES = ' +"
"C:\DISCO_DURO\proyectos\Factuzam\src\Core\inMtoLogon.pas";530;"VALUE_PERFILES";"VALUE_USUPER";"//                          '   AND VALUE_PERFILES = :VerBBDD ' ;"
"C:\DISCO_DURO\proyectos\Factuzam\src\Core\inMtoLogon.pas";663;"ESGRUPOADMINISTRADOR_GRUPO";"ESGRUPOADMINISTRADOR_USUGRP";"qryGrupo.SQL.Text := ' SELECT GRUPO_USUARIO, ESGRUPOADMINISTRADOR_GRUPO ' +"
"C:\DISCO_DURO\proyectos\Factuzam\src\Core\inMtoLogon.pas";663;"GRUPO_USUARIO";"GRUPO_USU";"qryGrupo.SQL.Text := ' SELECT GRUPO_USUARIO, ESGRUPOADMINISTRADOR_GRUPO ' +"
"C:\DISCO_DURO\proyectos\Factuzam\src\Core\inMtoLogon.pas";665;"USUARIO_USUARIO";"USUARIO_USU";"' WHERE USUARIO_USUARIO = ' + QuotedStr(sUser);"
"C:\DISCO_DURO\proyectos\Factuzam\src\Core\inMtoLogon.pas";756;"ULTIMOLOGIN_USUARIO";"ULTIMO_LOGIN_USU";"tbUsers.FieldByName('ULTIMOLOGIN_USUARIO').AsDateTime := Now;"
"C:\DISCO_DURO\proyectos\Factuzam\src\Core\inMtoLogon.pas";761;"EMPRESADEF_USUARIO";"EMPRESA_DEFECTO_USU";"oEmpresa   := tbUsers.FieldByName('EMPRESADEF_USUARIO').AsString;"
"C:\DISCO_DURO\proyectos\Factuzam\src\Core\inMtoLogon.pas";762;"ALMACENDEF_USUARIO";"ALMACEN_DEFECTO_USU";"oAlmacen   := tbUsers.FieldByName('ALMACENDEF_USUARIO').AsString;"
"C:\DISCO_DURO\proyectos\Factuzam\src\Core\inMtoLogon.pas";763;"CAJADEF_USUARIO";"CAJA_DEFECTO_USU";"oCaja      := tbUsers.FieldByName('CAJADEF_USUARIO').AsString;"
"C:\DISCO_DURO\proyectos\Factuzam\src\Core\inMtoLogon.pas";778;"USUARIO_USUARIO";"USUARIO_USU";"Result := tbUsers.Locate('USUARIO_USUARIO', sNom, []);"
"C:\DISCO_DURO\proyectos\Factuzam\src\Core\inMtoLogon.pas";791;"USUARIO_USUARIO";"USUARIO_USU";"tbUsers.Locate('USUARIO_USUARIO', sNom, []);"
"C:\DISCO_DURO\proyectos\Factuzam\src\Core\inMtoLogon.pas";792;"PASSWORD_USUARIO";"PASSWORD_USU";"sPAssBD := tbUsers.FindField('PASSWORD_USUARIO').AsString;"
"C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm";9;"CODIGO_ALMACEN_ALM";"CODIGO_ALM";"'  (CODIGO_ALMACEN_ALM, CODIGO_EMPRESA_ALM, ESACTIVO_ALM, NOMBRE_' +"
"C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm";9;"CODIGO_EMPRESA_ALM";"CODIGO_EMP_ALM";"'  (CODIGO_ALMACEN_ALM, CODIGO_EMPRESA_ALM, ESACTIVO_ALM, NOMBRE_' +"
"C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm";12;"ALMACEN_DESTINO_ACTUAL_ALM";"DESTINO_ACTUAL_ALM";"'ALM, CODIGO_CLIENTE_ALM, ALMACEN_DESTINO_ACTUAL_ALM, ALMACEN_ORI' +"
"C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm";12;"CODIGO_CLIENTE_ALM";"CODIGO_CLI_ALM";"'ALM, CODIGO_CLIENTE_ALM, ALMACEN_DESTINO_ACTUAL_ALM, ALMACEN_ORI' +"
"C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm";13;"INSTANTEMODIF";"INSTANTE_MODIF";"'GEN_ACTUAL_ALM, ORDEN_ALM, INSTANTEMODIF, INSTANTEALTA, USUARIOA' +"
"C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm";13;"INSTANTEALTA";"INSTANTE_ALTA";"'GEN_ACTUAL_ALM, ORDEN_ALM, INSTANTEMODIF, INSTANTEALTA, USUARIOA' +"
"C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm";14;"USUARIOMODIF";"USUARIO_MODIF";"'LTA, USUARIOMODIF)'"
"C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm";17;"CODIGO_ALMACEN_ALM";"CODIGO_ALM";"'  (:CODIGO_ALMACEN_ALM, :CODIGO_EMPRESA_ALM, :ESACTIVO_ALM, :NOM' +"
"C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm";17;"CODIGO_EMPRESA_ALM";"CODIGO_EMP_ALM";"'  (:CODIGO_ALMACEN_ALM, :CODIGO_EMPRESA_ALM, :ESACTIVO_ALM, :NOM' +"
"C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm";20;"CODIGO_CLIENTE_ALM";"CODIGO_CLI_ALM";"'ALM, :EMAIL_ALM, :CODIGO_CLIENTE_ALM, :ALMACEN_DESTINO_ACTUAL_AL' +"
"C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm";21;"ALMACEN_ORIGEN_ACTUAL_ALM";"ORIGEN_ACTUAL_ALM";"'M, :ALMACEN_ORIGEN_ACTUAL_ALM, :ORDEN_ALM, :INSTANTEMODIF, :INST' +"
"C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm";21;"INSTANTEMODIF";"INSTANTE_MODIF";"'M, :ALMACEN_ORIGEN_ACTUAL_ALM, :ORDEN_ALM, :INSTANTEMODIF, :INST' +"
"C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm";22;"USUARIOMODIF";"USUARIO_MODIF";"'ANTEALTA, :USUARIOALTA, :USUARIOMODIF)')"
"C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm";22;"USUARIOALTA";"USUARIO_ALTA";"'ANTEALTA, :USUARIOALTA, :USUARIOMODIF)')"
"C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm";26;"CODIGO_ALMACEN_ALM";"CODIGO_ALM";"'  CODIGO_ALMACEN_ALM = :Old_CODIGO_ALMACEN_ALM')"
"C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm";31;"CODIGO_ALMACEN_ALM";"CODIGO_ALM";"'  CODIGO_ALMACEN_ALM = :CODIGO_ALMACEN_ALM, CODIGO_EMPRESA_ALM =' +"
"C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm";31;"CODIGO_ALMACEN_ALM";"CODIGO_ALM";"'  CODIGO_ALMACEN_ALM = :CODIGO_ALMACEN_ALM, CODIGO_EMPRESA_ALM =' +"
"C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm";31;"CODIGO_EMPRESA_ALM";"CODIGO_EMP_ALM";"'  CODIGO_ALMACEN_ALM = :CODIGO_ALMACEN_ALM, CODIGO_EMPRESA_ALM =' +"
"C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm";32;"CODIGO_EMPRESA_ALM";"CODIGO_EMP_ALM";"' :CODIGO_EMPRESA_ALM, ESACTIVO_ALM = :ESACTIVO_ALM, NOMBRE_ALMAC' +"
"C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm";33;"NOMBRE_ALMACEN_ALM";"NOMBRE_ALM";"'EN_ALM = :NOMBRE_ALMACEN_ALM, CODIGO_PADRE_ALM = :CODIGO_PADRE_A' +"
"C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm";37;"CODIGO_CLIENTE_ALM";"CODIGO_CLI_ALM";"'_ALM, EMAIL_ALM = :EMAIL_ALM, CODIGO_CLIENTE_ALM = :CODIGO_CLIEN' +"
"C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm";38;"ALMACEN_DESTINO_ACTUAL_ALM";"DESTINO_ACTUAL_ALM";"'TE_ALM, ALMACEN_DESTINO_ACTUAL_ALM = :ALMACEN_DESTINO_ACTUAL_ALM' +"
"C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm";38;"ALMACEN_DESTINO_ACTUAL_ALM";"DESTINO_ACTUAL_ALM";"'TE_ALM, ALMACEN_DESTINO_ACTUAL_ALM = :ALMACEN_DESTINO_ACTUAL_ALM' +"
"C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm";39;"ALMACEN_ORIGEN_ACTUAL_ALM";"ORIGEN_ACTUAL_ALM";"', ALMACEN_ORIGEN_ACTUAL_ALM = :ALMACEN_ORIGEN_ACTUAL_ALM, ORDEN_' +"
"C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm";39;"ALMACEN_ORIGEN_ACTUAL_ALM";"ORIGEN_ACTUAL_ALM";"', ALMACEN_ORIGEN_ACTUAL_ALM = :ALMACEN_ORIGEN_ACTUAL_ALM, ORDEN_' +"
"C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm";40;"INSTANTEMODIF";"INSTANTE_MODIF";"'ALM = :ORDEN_ALM, INSTANTEMODIF = :INSTANTEMODIF, INSTANTEALTA =' +"
"C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm";40;"INSTANTEMODIF";"INSTANTE_MODIF";"'ALM = :ORDEN_ALM, INSTANTEMODIF = :INSTANTEMODIF, INSTANTEALTA =' +"
"C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm";40;"INSTANTEALTA";"INSTANTE_ALTA";"'ALM = :ORDEN_ALM, INSTANTEMODIF = :INSTANTEMODIF, INSTANTEALTA =' +"
"C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm";41;"INSTANTEALTA";"INSTANTE_ALTA";"' :INSTANTEALTA, USUARIOALTA = :USUARIOALTA, USUARIOMODIF = :USUA' +"
"C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm";41;"USUARIOMODIF";"USUARIO_MODIF";"' :INSTANTEALTA, USUARIOALTA = :USUARIOALTA, USUARIOMODIF = :USUA' +"
"C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm";41;"USUARIOALTA";"USUARIO_ALTA";"' :INSTANTEALTA, USUARIOALTA = :USUARIOALTA, USUARIOMODIF = :USUA' +"
"C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm";41;"USUARIOALTA";"USUARIO_ALTA";"' :INSTANTEALTA, USUARIOALTA = :USUARIOALTA, USUARIOMODIF = :USUA' +"
"C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm";44;"CODIGO_ALMACEN_ALM";"CODIGO_ALM";"'  CODIGO_ALMACEN_ALM = :Old_CODIGO_ALMACEN_ALM')"
"C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm";47;"CODIGO_ALMACEN_ALM";"CODIGO_ALM";"'SELECT CODIGO_ALMACEN_ALM, CODIGO_EMPRESA_ALM, ESACTIVO_ALM, NOM' +"
"C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm";47;"CODIGO_EMPRESA_ALM";"CODIGO_EMP_ALM";"'SELECT CODIGO_ALMACEN_ALM, CODIGO_EMPRESA_ALM, ESACTIVO_ALM, NOM' +"
"C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm";50;"ALMACEN_DESTINO_ACTUAL_ALM";"DESTINO_ACTUAL_ALM";"'AIL_ALM, CODIGO_CLIENTE_ALM, ALMACEN_DESTINO_ACTUAL_ALM, ALMACEN' +"
"C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm";50;"CODIGO_CLIENTE_ALM";"CODIGO_CLI_ALM";"'AIL_ALM, CODIGO_CLIENTE_ALM, ALMACEN_DESTINO_ACTUAL_ALM, ALMACEN' +"
"C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm";51;"INSTANTEMODIF";"INSTANTE_MODIF";"'_ORIGEN_ACTUAL_ALM, ORDEN_ALM, INSTANTEMODIF, INSTANTEALTA, USUA' +"
"C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm";51;"INSTANTEALTA";"INSTANTE_ALTA";"'_ORIGEN_ACTUAL_ALM, ORDEN_ALM, INSTANTEMODIF, INSTANTEALTA, USUA' +"
"C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm";52;"USUARIOMODIF";"USUARIO_MODIF";"'RIOALTA, USUARIOMODIF FROM fza_almacenes'"
"C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm";54;"CODIGO_ALMACEN_ALM";"CODIGO_ALM";"'  CODIGO_ALMACEN_ALM = :Old_CODIGO_ALMACEN_ALM'"
"C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm";58;"CODIGO_ALMACEN_ALM";"CODIGO_ALM";"'SELECT CODIGO_ALMACEN_ALM, CODIGO_EMPRESA_ALM, ESACTIVO_ALM, NOM' +"
"C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm";58;"CODIGO_EMPRESA_ALM";"CODIGO_EMP_ALM";"'SELECT CODIGO_ALMACEN_ALM, CODIGO_EMPRESA_ALM, ESACTIVO_ALM, NOM' +"
"C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm";61;"ALMACEN_DESTINO_ACTUAL_ALM";"DESTINO_ACTUAL_ALM";"'AIL_ALM, CODIGO_CLIENTE_ALM, ALMACEN_DESTINO_ACTUAL_ALM, ALMACEN' +"
"C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm";61;"CODIGO_CLIENTE_ALM";"CODIGO_CLI_ALM";"'AIL_ALM, CODIGO_CLIENTE_ALM, ALMACEN_DESTINO_ACTUAL_ALM, ALMACEN' +"
"C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm";62;"INSTANTEMODIF";"INSTANTE_MODIF";"'_ORIGEN_ACTUAL_ALM, ORDEN_ALM, INSTANTEMODIF, INSTANTEALTA, USUA' +"
"C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm";62;"INSTANTEALTA";"INSTANTE_ALTA";"'_ORIGEN_ACTUAL_ALM, ORDEN_ALM, INSTANTEMODIF, INSTANTEALTA, USUA' +"
"C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm";63;"USUARIOMODIF";"USUARIO_MODIF";"'RIOALTA, USUARIOMODIF FROM fza_almacenes'"
"C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm";65;"CODIGO_ALMACEN_ALM";"CODIGO_ALM";"'  CODIGO_ALMACEN_ALM = :CODIGO_ALMACEN_ALM')"
"C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm";65;"CODIGO_ALMACEN_ALM";"CODIGO_ALM";"'  CODIGO_ALMACEN_ALM = :CODIGO_ALMACEN_ALM')"
"C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm";80;"CODIGO_ALMACEN_ALMCAJ";"CODIGO_ALM_ALMCAJ";"'  (CODIGO_ALMACEN_ALMCAJ, CODIGO_CAJA_ALMCAJ, DESCRIPCION_ALMCAJ' +"
"C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm";84;"CODIGO_ALMACEN_ALMCAJ";"CODIGO_ALM_ALMCAJ";"'  (:CODIGO_ALMACEN_ALMCAJ, :CODIGO_CAJA_ALMCAJ, :DESCRIPCION_ALM' +"
"C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm";90;"CODIGO_ALMACEN_ALMCAJ";"CODIGO_ALM_ALMCAJ";"'  CODIGO_ALMACEN_ALMCAJ = :Old_CODIGO_ALMACEN_ALMCAJ AND CODIGO_' +"
"C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm";96;"CODIGO_ALMACEN_ALMCAJ";"CODIGO_ALM_ALMCAJ";"'  CODIGO_ALMACEN_ALMCAJ = :CODIGO_ALMACEN_ALMCAJ, CODIGO_CAJA_AL' +"
"C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm";96;"CODIGO_ALMACEN_ALMCAJ";"CODIGO_ALM_ALMCAJ";"'  CODIGO_ALMACEN_ALMCAJ = :CODIGO_ALMACEN_ALMCAJ, CODIGO_CAJA_AL' +"
"C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm";101;"CODIGO_ALMACEN_ALMCAJ";"CODIGO_ALM_ALMCAJ";"'  CODIGO_ALMACEN_ALMCAJ = :Old_CODIGO_ALMACEN_ALMCAJ AND CODIGO_' +"
"C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm";105;"CODIGO_ALMACEN_ALMCAJ";"CODIGO_ALM_ALMCAJ";"'SELECT CODIGO_ALMACEN_ALMCAJ, CODIGO_CAJA_ALMCAJ, DESCRIPCION_AL' +"
"C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm";109;"CODIGO_ALMACEN_ALMCAJ";"CODIGO_ALM_ALMCAJ";"'  CODIGO_ALMACEN_ALMCAJ = :Old_CODIGO_ALMACEN_ALMCAJ AND CODIGO_' +"
"C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm";114;"CODIGO_ALMACEN_ALMCAJ";"CODIGO_ALM_ALMCAJ";"'SELECT CODIGO_ALMACEN_ALMCAJ, CODIGO_CAJA_ALMCAJ, DESCRIPCION_AL' +"
"C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm";118;"CODIGO_ALMACEN_ALMCAJ";"CODIGO_ALM_ALMCAJ";"'  CODIGO_ALMACEN_ALMCAJ = :CODIGO_ALMACEN_ALMCAJ AND CODIGO_CAJA' +"
"C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm";118;"CODIGO_ALMACEN_ALMCAJ";"CODIGO_ALM_ALMCAJ";"'  CODIGO_ALMACEN_ALMCAJ = :CODIGO_ALMACEN_ALMCAJ AND CODIGO_CAJA' +"
"C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm";128;"CODIGO_ALMACEN_ALM";"CODIGO_ALM";"MasterFields = 'CODIGO_ALMACEN_ALM'"
"C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm";129;"CODIGO_ALMACEN_ALMCAJ";"CODIGO_ALM_ALMCAJ";"DetailFields = 'CODIGO_ALMACEN_ALMCAJ'"
"C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm";138;"CODIGO_ALMACEN_ALM";"CODIGO_ALM";"Name = 'CODIGO_ALMACEN_ALM'"
"C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataArticulos.dfm";9;"ACTIVO_ARTICULO";"ESACTIVO_ART";"'  (`CODIGO_ARTICULO`, `ACTIVO_ARTICULO`, `ORDEN_ARTICULO`, `DESC' +"
"C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataArticulos.dfm";9;"CODIGO_ARTICULO";"CODIGO_ART";"'  (`CODIGO_ARTICULO`, `ACTIVO_ARTICULO`, `ORDEN_ARTICULO`, `DESC' +"
"C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataArticulos.dfm";9;"ORDEN_ARTICULO";"ORDEN_ART";"'  (`CODIGO_ARTICULO`, `ACTIVO_ARTICULO`, `ORDEN_ARTICULO`, `DESC' +"
"C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataArticulos.dfm";10;"CODIGO_FAMILIA_ARTICULO";"CODIGO_FAM_ART";"'RIPCION_ARTICULO`, `CODIGO_FAMILIA_ARTICULO`, `TIPOIVA_ARTICULO`' +"
"C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataArticulos.dfm";10;"TIPOIVA_ARTICULO";"TIPO_IVA_ART";"'RIPCION_ARTICULO`, `CODIGO_FAMILIA_ARTICULO`, `TIPOIVA_ARTICULO`' +"
"C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataArticulos.dfm";11;"ESACTIVO_FIJO_ARTICULO";"ESACTIVO_FIJO_ART";"', `ESACTIVO_FIJO_ARTICULO`, `TIPO_CANTIDAD_ARTICULO`, `INSTANTEM' +"
"C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataArticulos.dfm";11;"TIPO_CANTIDAD_ARTICULO";"TIPO_CANTIDAD_ART";"', `ESACTIVO_FIJO_ARTICULO`, `TIPO_CANTIDAD_ARTICULO`, `INSTANTEM' +"
"C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataArticulos.dfm";12;"INSTANTEALTA";"INSTANTE_ALTA";"'ODIF`, `INSTANTEALTA`, `USUARIOALTA`, `USUARIOMODIF`)'"
"C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataArticulos.dfm";12;"USUARIOMODIF";"USUARIO_MODIF";"'ODIF`, `INSTANTEALTA`, `USUARIOALTA`, `USUARIOMODIF`)'"
"C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataArticulos.dfm";12;"USUARIOALTA";"USUARIO_ALTA";"'ODIF`, `INSTANTEALTA`, `USUARIOALTA`, `USUARIOMODIF`)'"
"C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataArticulos.dfm";15;"ACTIVO_ARTICULO";"ESACTIVO_ART";"'  (:`CODIGO_ARTICULO`, :`ACTIVO_ARTICULO`, :`ORDEN_ARTICULO`, :`' +"
"C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataArticulos.dfm";15;"CODIGO_ARTICULO";"CODIGO_ART";"'  (:`CODIGO_ARTICULO`, :`ACTIVO_ARTICULO`, :`ORDEN_ARTICULO`, :`' +"
"C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataArticulos.dfm";15;"ORDEN_ARTICULO";"ORDEN_ART";"'  (:`CODIGO_ARTICULO`, :`ACTIVO_ARTICULO`, :`ORDEN_ARTICULO`, :`' +"
"C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataArticulos.dfm";16;"CODIGO_FAMILIA_ARTICULO";"CODIGO_FAM_ART";"'DESCRIPCION_ARTICULO`, :`CODIGO_FAMILIA_ARTICULO`, :`TIPOIVA_ART' +"
"C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataArticulos.dfm";16;"DESCRIPCION_ARTICULO";"DESCRIPCION_ART";"'DESCRIPCION_ARTICULO`, :`CODIGO_FAMILIA_ARTICULO`, :`TIPOIVA_ART' +"
"C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataArticulos.dfm";17;"ESACTIVO_FIJO_ARTICULO";"ESACTIVO_FIJO_ART";"'ICULO`, :`ESACTIVO_FIJO_ARTICULO`, :`TIPO_CANTIDAD_ARTICULO`, :`' +"
"C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataArticulos.dfm";17;"TIPO_CANTIDAD_ARTICULO";"TIPO_CANTIDAD_ART";"'ICULO`, :`ESACTIVO_FIJO_ARTICULO`, :`TIPO_CANTIDAD_ARTICULO`, :`' +"
"C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataArticulos.dfm";18;"INSTANTEMODIF";"INSTANTE_MODIF";"'INSTANTEMODIF`, :`INSTANTEALTA`, :`USUARIOALTA`, :`USUARIOMODIF`' +"
"C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataArticulos.dfm";18;"INSTANTEALTA";"INSTANTE_ALTA";"'INSTANTEMODIF`, :`INSTANTEALTA`, :`USUARIOALTA`, :`USUARIOMODIF`' +"
"C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataArticulos.dfm";18;"USUARIOMODIF";"USUARIO_MODIF";"'INSTANTEMODIF`, :`INSTANTEALTA`, :`USUARIOALTA`, :`USUARIOMODIF`' +"
