# Informe de auditoría (pasada B - revisar manualmente)
# Generado: 2026-05-04 08:53:25
# Total ocurrencias: 7026
# Formato: ARCHIVO | LINEA | OLD -> NEW | CONTEXTO | MOTIVO | TEXTO

C:\DISCO_DURO\proyectos\Factuzam\src\Core\inMtoAppParam.pas | 409 | KEY_PERFILES -> KEY_USUPER | SUBKEY_PERFILES | prefijo | SubKey   := qry.FieldByName('SUBKEY_PERFILES').AsString;
C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm | 44 | CODIGO_ALMACEN_ALM -> CODIGO_ALM | Old_CODIGO_ALMACEN_ALM | prefijo | '  CODIGO_ALMACEN_ALM = :Old_CODIGO_ALMACEN_ALM')
C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm | 47 | CODIGO_EMPRESA -> CODIGO_EMP | CODIGO_EMPRESA_ALM | sufijo | 'SELECT CODIGO_ALMACEN_ALM, CODIGO_EMPRESA_ALM, ESACTIVO_ALM, NOM' +
C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm | 50 | CODIGO_CLIENTE -> CODIGO_CLI | CODIGO_CLIENTE_ALM | sufijo | 'AIL_ALM, CODIGO_CLIENTE_ALM, ALMACEN_DESTINO_ACTUAL_ALM, ALMACEN' +
C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm | 54 | CODIGO_ALMACEN_ALM -> CODIGO_ALM | Old_CODIGO_ALMACEN_ALM | prefijo | '  CODIGO_ALMACEN_ALM = :Old_CODIGO_ALMACEN_ALM'
C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm | 58 | CODIGO_EMPRESA -> CODIGO_EMP | CODIGO_EMPRESA_ALM | sufijo | 'SELECT CODIGO_ALMACEN_ALM, CODIGO_EMPRESA_ALM, ESACTIVO_ALM, NOM' +
C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm | 61 | CODIGO_CLIENTE -> CODIGO_CLI | CODIGO_CLIENTE_ALM | sufijo | 'AIL_ALM, CODIGO_CLIENTE_ALM, ALMACEN_DESTINO_ACTUAL_ALM, ALMACEN' +
C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm | 80 | CODIGO_ALMACEN_ALM -> CODIGO_ALM | CODIGO_ALMACEN_ALMCAJ | sufijo | '  (CODIGO_ALMACEN_ALMCAJ, CODIGO_CAJA_ALMCAJ, DESCRIPCION_ALMCAJ' +
C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm | 84 | CODIGO_ALMACEN_ALM -> CODIGO_ALM | CODIGO_ALMACEN_ALMCAJ | sufijo | '  (:CODIGO_ALMACEN_ALMCAJ, :CODIGO_CAJA_ALMCAJ, :DESCRIPCION_ALM' +
C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm | 90 | CODIGO_ALMACEN_ALMCAJ -> CODIGO_ALM_ALMCAJ | Old_CODIGO_ALMACEN_ALMCAJ | prefijo | '  CODIGO_ALMACEN_ALMCAJ = :Old_CODIGO_ALMACEN_ALMCAJ AND CODIGO_' +
C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm | 90 | CODIGO_ALMACEN_ALM -> CODIGO_ALM | CODIGO_ALMACEN_ALMCAJ | sufijo | '  CODIGO_ALMACEN_ALMCAJ = :Old_CODIGO_ALMACEN_ALMCAJ AND CODIGO_' +
C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm | 90 | CODIGO_ALMACEN_ALM -> CODIGO_ALM | Old_CODIGO_ALMACEN_ALMCAJ | prefijo+sufijo | '  CODIGO_ALMACEN_ALMCAJ = :Old_CODIGO_ALMACEN_ALMCAJ AND CODIGO_' +
C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm | 96 | CODIGO_ALMACEN_ALM -> CODIGO_ALM | CODIGO_ALMACEN_ALMCAJ | sufijo | '  CODIGO_ALMACEN_ALMCAJ = :CODIGO_ALMACEN_ALMCAJ, CODIGO_CAJA_AL' +
C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm | 96 | CODIGO_ALMACEN_ALM -> CODIGO_ALM | CODIGO_ALMACEN_ALMCAJ | sufijo | '  CODIGO_ALMACEN_ALMCAJ = :CODIGO_ALMACEN_ALMCAJ, CODIGO_CAJA_AL' +
C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm | 101 | CODIGO_ALMACEN_ALMCAJ -> CODIGO_ALM_ALMCAJ | Old_CODIGO_ALMACEN_ALMCAJ | prefijo | '  CODIGO_ALMACEN_ALMCAJ = :Old_CODIGO_ALMACEN_ALMCAJ AND CODIGO_' +
C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm | 101 | CODIGO_ALMACEN_ALM -> CODIGO_ALM | CODIGO_ALMACEN_ALMCAJ | sufijo | '  CODIGO_ALMACEN_ALMCAJ = :Old_CODIGO_ALMACEN_ALMCAJ AND CODIGO_' +
C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm | 101 | CODIGO_ALMACEN_ALM -> CODIGO_ALM | Old_CODIGO_ALMACEN_ALMCAJ | prefijo+sufijo | '  CODIGO_ALMACEN_ALMCAJ = :Old_CODIGO_ALMACEN_ALMCAJ AND CODIGO_' +
C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm | 105 | CODIGO_ALMACEN_ALM -> CODIGO_ALM | CODIGO_ALMACEN_ALMCAJ | sufijo | 'SELECT CODIGO_ALMACEN_ALMCAJ, CODIGO_CAJA_ALMCAJ, DESCRIPCION_AL' +
C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm | 109 | CODIGO_ALMACEN_ALMCAJ -> CODIGO_ALM_ALMCAJ | Old_CODIGO_ALMACEN_ALMCAJ | prefijo | '  CODIGO_ALMACEN_ALMCAJ = :Old_CODIGO_ALMACEN_ALMCAJ AND CODIGO_' +
C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm | 109 | CODIGO_ALMACEN_ALM -> CODIGO_ALM | CODIGO_ALMACEN_ALMCAJ | sufijo | '  CODIGO_ALMACEN_ALMCAJ = :Old_CODIGO_ALMACEN_ALMCAJ AND CODIGO_' +
C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm | 109 | CODIGO_ALMACEN_ALM -> CODIGO_ALM | Old_CODIGO_ALMACEN_ALMCAJ | prefijo+sufijo | '  CODIGO_ALMACEN_ALMCAJ = :Old_CODIGO_ALMACEN_ALMCAJ AND CODIGO_' +
C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm | 114 | CODIGO_ALMACEN_ALM -> CODIGO_ALM | CODIGO_ALMACEN_ALMCAJ | sufijo | 'SELECT CODIGO_ALMACEN_ALMCAJ, CODIGO_CAJA_ALMCAJ, DESCRIPCION_AL' +
C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm | 118 | CODIGO_ALMACEN_ALM -> CODIGO_ALM | CODIGO_ALMACEN_ALMCAJ | sufijo | '  CODIGO_ALMACEN_ALMCAJ = :CODIGO_ALMACEN_ALMCAJ AND CODIGO_CAJA' +
C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm | 118 | CODIGO_ALMACEN_ALM -> CODIGO_ALM | CODIGO_ALMACEN_ALMCAJ | sufijo | '  CODIGO_ALMACEN_ALMCAJ = :CODIGO_ALMACEN_ALMCAJ AND CODIGO_CAJA' +
C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataAlmacenes.dfm | 129 | CODIGO_ALMACEN_ALM -> CODIGO_ALM | CODIGO_ALMACEN_ALMCAJ | sufijo | DetailFields = 'CODIGO_ALMACEN_ALMCAJ'
C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataArticulos.dfm | 10 | CODIGO_FAMILIA -> CODIGO_FAM | CODIGO_FAMILIA_ARTICULO | sufijo | 'RIPCION_ARTICULO`, `CODIGO_FAMILIA_ARTICULO`, `TIPOIVA_ARTICULO`' +
C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataArticulos.dfm | 11 | CANTIDAD -> CANTIDAD_ARTVIN | TIPO_CANTIDAD_ARTICULO | prefijo+sufijo | ', `ESACTIVO_FIJO_ARTICULO`, `TIPO_CANTIDAD_ARTICULO`, `INSTANTEM' +
C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataArticulos.dfm | 16 | CODIGO_FAMILIA -> CODIGO_FAM | CODIGO_FAMILIA_ARTICULO | sufijo | 'DESCRIPCION_ARTICULO`, :`CODIGO_FAMILIA_ARTICULO`, :`TIPOIVA_ART' +
C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataArticulos.dfm | 17 | CANTIDAD -> CANTIDAD_ARTVIN | TIPO_CANTIDAD_ARTICULO | prefijo+sufijo | 'ICULO`, :`ESACTIVO_FIJO_ARTICULO`, :`TIPO_CANTIDAD_ARTICULO`, :`' +
C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataArticulos.dfm | 23 | CODIGO_ARTICULO -> CODIGO_ART | Old_CODIGO_ARTICULO | prefijo | '  `CODIGO_ARTICULO` = :`Old_CODIGO_ARTICULO`')
C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataArticulos.dfm | 30 | CODIGO_FAMILIA -> CODIGO_FAM | CODIGO_FAMILIA_ARTICU | sufijo | 'CION_ARTICULO` = :`DESCRIPCION_ARTICULO`, `CODIGO_FAMILIA_ARTICU' +
C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataArticulos.dfm | 31 | CODIGO_FAMILIA -> CODIGO_FAM | CODIGO_FAMILIA_ARTICULO | sufijo | 'LO` = :`CODIGO_FAMILIA_ARTICULO`, `TIPOIVA_ARTICULO` = :`TIPOIVA' +
C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataArticulos.dfm | 33 | CANTIDAD -> CANTIDAD_ARTVIN | TIPO_CANTIDAD_ARTICULO | prefijo+sufijo | ', `TIPO_CANTIDAD_ARTICULO` = :`TIPO_CANTIDAD_ARTICULO`, `INSTANT' +
C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataArticulos.dfm | 33 | CANTIDAD -> CANTIDAD_ARTVIN | TIPO_CANTIDAD_ARTICULO | prefijo+sufijo | ', `TIPO_CANTIDAD_ARTICULO` = :`TIPO_CANTIDAD_ARTICULO`, `INSTANT' +
C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataArticulos.dfm | 37 | CODIGO_ARTICULO -> CODIGO_ART | Old_CODIGO_ARTICULO | prefijo | '  `CODIGO_ARTICULO` = :`Old_CODIGO_ARTICULO`')
C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataArticulos.dfm | 41 | CODIGO_ARTICULO -> CODIGO_ART | Old_CODIGO_ARTICULO | prefijo | '  `CODIGO_ARTICULO` = :`Old_CODIGO_ARTICULO`'
C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataArticulos.dfm | 46 | CODIGO_FAMILIA -> CODIGO_FAM | CODIGO_FAMILIA_ARTICULO | sufijo | 'DESCRIPCION_ARTICULO`, `CODIGO_FAMILIA_ARTICULO`, `TIPOIVA_ARTIC' +
C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataArticulos.dfm | 47 | CANTIDAD -> CANTIDAD_ARTVIN | TIPO_CANTIDAD_ARTICULO | prefijo+sufijo | 'ULO`, `ESACTIVO_FIJO_ARTICULO`, `TIPO_CANTIDAD_ARTICULO`, `INSTA' +
C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataArticulos.dfm | 93 | CODIGO_ARTICULO -> CODIGO_ART | CODIGO_ARTICULO_TARIFA | sufijo | '  (CODIGO_ARTICULO_TARIFA, CODIGO_UNICO_TARIFA, CODIGO_UNIDAD_TA' +
C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataArticulos.dfm | 100 | CODIGO_ARTICULO -> CODIGO_ART | CODIGO_ARTICULO_TARIFA | sufijo | '  (:CODIGO_ARTICULO_TARIFA, :CODIGO_UNICO_TARIFA, :CODIGO_UNIDAD' +
C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataArticulos.dfm | 108 | CODIGO_UNICO_TARIFA -> CODIGO_UNICO_ARTTAR | Old_CODIGO_UNICO_TARIFA | prefijo | '  CODIGO_UNICO_TARIFA = :Old_CODIGO_UNICO_TARIFA')
C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataArticulos.dfm | 113 | CODIGO_ARTICULO -> CODIGO_ART | CODIGO_ARTICULO_TARIFA | sufijo | '  CODIGO_ARTICULO_TARIFA = :CODIGO_ARTICULO_TARIFA, CODIGO_UNICO' +
C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataArticulos.dfm | 113 | CODIGO_ARTICULO -> CODIGO_ART | CODIGO_ARTICULO_TARIFA | sufijo | '  CODIGO_ARTICULO_TARIFA = :CODIGO_ARTICULO_TARIFA, CODIGO_UNICO' +
C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataArticulos.dfm | 123 | CODIGO_UNICO_TARIFA -> CODIGO_UNICO_ARTTAR | Old_CODIGO_UNICO_TARIFA | prefijo | '  CODIGO_UNICO_TARIFA = :Old_CODIGO_UNICO_TARIFA')
C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataArticulos.dfm | 126 | CODIGO_ARTICULO -> CODIGO_ART | CODIGO_ARTICULO_TARIFA | sufijo | 'SELECT CODIGO_ARTICULO_TARIFA, CODIGO_UNICO_TARIFA, CODIGO_UNIDA' +
C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataArticulos.dfm | 132 | CODIGO_UNICO_TARIFA -> CODIGO_UNICO_ARTTAR | Old_CODIGO_UNICO_TARIFA | prefijo | '  CODIGO_UNICO_TARIFA = :Old_CODIGO_UNICO_TARIFA'
C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataArticulos.dfm | 136 | CODIGO_ARTICULO -> CODIGO_ART | CODIGO_ARTICULO_TARIFA | sufijo | 'SELECT CODIGO_ARTICULO_TARIFA, CODIGO_UNICO_TARIFA, CODIGO_UNIDA' +
C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataArticulos.dfm | 150 | CODIGO_ARTICULO -> CODIGO_ART | CODIGO_ARTICULO_TARIFA | sufijo | DetailFields = 'CODIGO_ARTICULO_TARIFA'
C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataArticulos.dfm | 171 | CODIGO_PROVEEDOR -> CODIGO_PRV | CODIGO_PROVEEDOR_ARTICULO_PROVEEDOR | sufijo | '      (`CODIGO_PROVEEDOR_ARTICULO_PROVEEDOR`, '
C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataArticulos.dfm | 172 | CODIGO_ARTICULO -> CODIGO_ART | CODIGO_ARTICULO_ARTICULO_PROVEEDOR | sufijo | '       `CODIGO_ARTICULO_ARTICULO_PROVEEDOR`, '
C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataArticulos.dfm | 194 | CODIGO_PROVEEDOR -> CODIGO_PRV | CODIGO_PROVEEDOR_ARTICULO_PROVEEDOR | sufijo | '  `CODIGO_PROVEEDOR_ARTICULO_PROVEEDOR` = :`Old_CODIGO_PROVEEDOR' +
C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataArticulos.dfm | 194 | CODIGO_PROVEEDOR -> CODIGO_PRV | Old_CODIGO_PROVEEDOR | prefijo | '  `CODIGO_PROVEEDOR_ARTICULO_PROVEEDOR` = :`Old_CODIGO_PROVEEDOR' +
C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataArticulos.dfm | 197 | CODIGO_ARTICULO -> CODIGO_ART | CODIGO_ARTICULO_ARTICULO_PROVEEDOR | sufijo | ' AND `CODIGO_ARTICULO_ARTICULO_PROVEEDOR` = :`Old_CODIGO_ARTICUL' +
C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataArticulos.dfm | 203 | CODIGO_PROVEEDOR -> CODIGO_PRV | CODIGO_PROVEEDOR_ARTICULO_PROVEEDOR | sufijo | '  `CODIGO_PROVEEDOR_ARTICULO_PROVEEDOR`     = :`CODIGO_PROVEEDOR' +
C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataArticulos.dfm | 206 | CODIGO_ARTICULO -> CODIGO_ART | CODIGO_ARTICULO_ARTICULO_PROVEEDOR | sufijo | '  `CODIGO_ARTICULO_ARTICULO_PROVEEDOR`      = :`CODIGO_ARTICULO`' +
C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataArticulos.dfm | 221 | CODIGO_PROVEEDOR -> CODIGO_PRV | CODIGO_PROVEEDOR_ARTICULO_PROVEEDOR | sufijo | '  `CODIGO_PROVEEDOR_ARTICULO_PROVEEDOR`  = :`Old_CODIGO_PROVEEDO' +
C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataArticulos.dfm | 224 | CODIGO_ARTICULO -> CODIGO_ART | CODIGO_ARTICULO_ARTICULO_PROVEEDOR | sufijo | 'AND `CODIGO_ARTICULO_ARTICULO_PROVEEDOR` = :`Old_CODIGO_ARTICULO' +
C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataArticulos.dfm | 224 | CODIGO_ARTICULO -> CODIGO_ART | Old_CODIGO_ARTICULO | prefijo | 'AND `CODIGO_ARTICULO_ARTICULO_PROVEEDOR` = :`Old_CODIGO_ARTICULO' +
C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataArticulos.dfm | 231 | CODIGO_PROVEEDOR -> CODIGO_PRV | CODIGO_PROVEEDOR_ARTICULO_PROVEEDOR | sufijo | '       `CODIGO_PROVEEDOR_ARTICULO_PROVEEDOR`  = :`Old_CODIGO_PRO' +
C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataArticulos.dfm | 234 | CODIGO_ARTICULO -> CODIGO_ART | CODIGO_ARTICULO_ARTICULO_PROVEEDOR | sufijo | '   AND `CODIGO_ARTICULO_ARTICULO_PROVEEDOR`   = :`Old_CODIGO_ART' +
C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataArticulos.dfm | 242 | CODIGO_PROVEEDOR -> CODIGO_PRV | CODIGO_PROVEEDOR_ARTICULO_PROVEEDOR | sufijo | '      `CODIGO_PROVEEDOR_ARTICULO_PROVEEDOR` = :`CODIGO_PROVEEDOR' +
C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataArticulos.dfm | 244 | CODIGO_ARTICULO -> CODIGO_ART | CODIGO_ARTICULO_ARTICULO_PROVEEDOR | sufijo | '  AND `CODIGO_ARTICULO_ARTICULO_PROVEEDOR`  = :`CODIGO_ARTICULO`')
C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataArticulos.dfm | 275 | CODIGO_ARTICULO -> CODIGO_ART | CODIGO_ARTICULO_TARIFA | sufijo | '  (CODIGO_ARTICULO_TARIFA, ACTIVO_TARIFA, PRECIOVENTA_IVAINCL_TA' +
C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataArticulos.dfm | 280 | CODIGO_ARTICULO -> CODIGO_ART | CODIGO_ARTICULO_TARIFA | sufijo | '  (:CODIGO_ARTICULO_TARIFA, :ACTIVO_TARIFA, :PRECIOVENTA_IVAINCL' +
C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataArticulos.dfm | 287 | CODIGO_ARTICULO_TARIFA -> CODIGO_ART_ARTTAR | Old_CODIGO_ARTICULO_TARIFA | prefijo | '  CODIGO_ARTICULO_TARIFA = :Old_CODIGO_ARTICULO_TARIFA')
C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataArticulos.dfm | 287 | CODIGO_ARTICULO -> CODIGO_ART | CODIGO_ARTICULO_TARIFA | sufijo | '  CODIGO_ARTICULO_TARIFA = :Old_CODIGO_ARTICULO_TARIFA')
C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataArticulos.dfm | 287 | CODIGO_ARTICULO -> CODIGO_ART | Old_CODIGO_ARTICULO_TARIFA | prefijo+sufijo | '  CODIGO_ARTICULO_TARIFA = :Old_CODIGO_ARTICULO_TARIFA')
C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataArticulos.dfm | 292 | CODIGO_ARTICULO -> CODIGO_ART | CODIGO_ARTICULO_TARIFA | sufijo | '  CODIGO_ARTICULO_TARIFA = :CODIGO_ARTICULO_TARIFA, ACTIVO_TARIF' +
C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataArticulos.dfm | 292 | CODIGO_ARTICULO -> CODIGO_ART | CODIGO_ARTICULO_TARIFA | sufijo | '  CODIGO_ARTICULO_TARIFA = :CODIGO_ARTICULO_TARIFA, ACTIVO_TARIF' +
C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataArticulos.dfm | 300 | CODIGO_ARTICULO_TARIFA -> CODIGO_ART_ARTTAR | Old_CODIGO_ARTICULO_TARIFA | prefijo | '  CODIGO_ARTICULO_TARIFA = :Old_CODIGO_ARTICULO_TARIFA')
C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataArticulos.dfm | 300 | CODIGO_ARTICULO -> CODIGO_ART | CODIGO_ARTICULO_TARIFA | sufijo | '  CODIGO_ARTICULO_TARIFA = :Old_CODIGO_ARTICULO_TARIFA')
C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataArticulos.dfm | 300 | CODIGO_ARTICULO -> CODIGO_ART | Old_CODIGO_ARTICULO_TARIFA | prefijo+sufijo | '  CODIGO_ARTICULO_TARIFA = :Old_CODIGO_ARTICULO_TARIFA')
C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataArticulos.dfm | 304 | CODIGO_ARTICULO_TARIFA -> CODIGO_ART_ARTTAR | Old_CODIGO_ARTICULO_TARIFA | prefijo | '  CODIGO_ARTICULO_TARIFA = :Old_CODIGO_ARTICULO_TARIFA'
C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataArticulos.dfm | 304 | CODIGO_ARTICULO -> CODIGO_ART | CODIGO_ARTICULO_TARIFA | sufijo | '  CODIGO_ARTICULO_TARIFA = :Old_CODIGO_ARTICULO_TARIFA'
C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataArticulos.dfm | 304 | CODIGO_ARTICULO -> CODIGO_ART | Old_CODIGO_ARTICULO_TARIFA | prefijo+sufijo | '  CODIGO_ARTICULO_TARIFA = :Old_CODIGO_ARTICULO_TARIFA'
C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataArticulos.dfm | 308 | CODIGO_ARTICULO -> CODIGO_ART | CODIGO_ARTICULO_TARIFA | sufijo | 'SELECT CODIGO_ARTICULO_TARIFA, ACTIVO_TARIFA, PRECIOVENTA_IVAINC' +
C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataArticulos.dfm | 313 | CODIGO_ARTICULO -> CODIGO_ART | CODIGO_ARTICULO_TARIFA | sufijo | '  CODIGO_ARTICULO_TARIFA = :CODIGO_ARTICULO_TARIFA')
C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataArticulos.dfm | 313 | CODIGO_ARTICULO -> CODIGO_ART | CODIGO_ARTICULO_TARIFA | sufijo | '  CODIGO_ARTICULO_TARIFA = :CODIGO_ARTICULO_TARIFA')
C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataArticulos.dfm | 321 | NRO_FACTURA -> NUMERO_FAC | NRO_FACTURA_LINEA | sufijo | 'ON l.NRO_FACTURA_LINEA = f.NRO_FACTURA'
C:\DISCO_DURO\proyectos\Factuzam\src\DataModules\UniDataArticulos.dfm | 322 | SERIE_FACTURA -> SERIE_FAC | SERIE_FACTURA_LINEA | sufijo | 'AND l.SERIE_FACTURA_LINEA = f.SERIE_FACTURA')
